iter	Logloss
0	0.6719460831
1	0.6535480149
2	0.6372485685
3	0.621643559
4	0.6100669664
5	0.5987903817
6	0.5891812775
7	0.5798203297
8	0.571598143
9	0.5638640237
10	0.5566312623
11	0.5499351785
12	0.5445266735
13	0.5391216594
14	0.5347369032
15	0.5301302872
16	0.5263180892
17	0.5222121936
18	0.5191071637
19	0.5153427681
20	0.5121219
21	0.5092696148
22	0.5067408289
23	0.5045906019
24	0.5023775885
25	0.4999573609
26	0.4979177517
27	0.4957859844
28	0.493808021
29	0.4920906465
30	0.4899949676
31	0.4887456893
32	0.4871852376
33	0.4857011579
34	0.4843980656
35	0.4832659694
36	0.4816566604
37	0.4803382838
38	0.4789956239
39	0.4779387445
40	0.4766487698
41	0.4753936023
42	0.4741686421
43	0.4728936815
44	0.4718350746
45	0.470860502
46	0.4697884654
47	0.4685444838
48	0.4676860047
49	0.4665061508
50	0.4654203966
51	0.4647155993
52	0.4639422413
53	0.4629650139
54	0.4623049919
55	0.4612824668
56	0.4604523947
57	0.459727782
58	0.4587497324
59	0.4577675404
60	0.4569288559
61	0.4560496011
62	0.455435834
63	0.4547307545
64	0.4538460281
65	0.4530103358
66	0.4520751681
67	0.4512374174
68	0.4505636383
69	0.4499566698
70	0.4491573992
71	0.4484616726
72	0.4479142994
73	0.4472418358
74	0.4465936967
75	0.4457707109
76	0.4448797713
77	0.4442247879
78	0.443230015
79	0.4426808185
80	0.4421764975
81	0.441570952
82	0.4409113484
83	0.4403055144
84	0.4397553669
85	0.4391927995
86	0.4385138783
87	0.4380152612
88	0.4375707958
89	0.4367797423
90	0.4363355874
91	0.4358538146
92	0.4353237694
93	0.4346921356
94	0.4339914872
95	0.4335072205
96	0.4330100738
97	0.4324035361
98	0.4320295049
99	0.4317626942
100	0.4312971596
101	0.4304857114
102	0.4298636427
103	0.4294735706
104	0.4289810206
105	0.4285379657
106	0.4279391873
107	0.4270931853
108	0.4265629387
109	0.4261585428
110	0.4257553623
111	0.4251891172
112	0.4247817937
113	0.4243463331
114	0.423756865
115	0.4231511306
116	0.4225480624
117	0.4221723581
118	0.4217358705
119	0.4212538512
120	0.4207279365
121	0.4203183638
122	0.4200053441
123	0.4197083621
124	0.4192461232
125	0.4185589382
126	0.418095406
127	0.4175917643
128	0.4170213697
129	0.416522841
130	0.4159397384
131	0.4155079165
132	0.4150903359
133	0.414808414
134	0.4144885937
135	0.4137638324
136	0.4133352242
137	0.4130096913
138	0.4127144146
139	0.4123230227
140	0.4118680184
141	0.411511011
142	0.4112405945
143	0.4108538105
144	0.4104377701
145	0.4102070947
146	0.4098625678
147	0.4093162786
148	0.4090039931
149	0.408537516
150	0.4081353272
151	0.4076780054
152	0.4073201641
153	0.4068020902
154	0.4065377816
155	0.4061849238
156	0.4058398373
157	0.4053244331
158	0.4049126592
159	0.4044528724
160	0.4042139218
161	0.4038266237
162	0.403425399
163	0.4030629779
164	0.4028980106
165	0.4025049866
166	0.4020630688
167	0.4016859165
168	0.4012111371
169	0.4008489495
170	0.4004538571
171	0.399954277
172	0.3995994126
173	0.3993256501
